ID,SALE_PRICE,LIVING_SQFT,LOG_LIVING,LIVING_SQ,TOT_FIN_SQFT,LOG_TOT_FIN,FBSMT_SQFT,LOG_FBSMT,BSMT_AREA,LOG_BSMT,BSMT_FIN_RATIO,LAND_SQFT,LOG_LAND,LAND_PER_LIVING,GRD_AREA,BLDG_AGE,LOG_AGE,AGE_SQ,EFF_AGE,LOG_EFF_AGE,BED_RMS,FULL_B,HLF_B,TOT_BATH,BATH_PER_BED,SQFT_PER_ROOM,STORY,IS_CONDO,EVER_REMOD,HAS_LAND,HAS_BSMT,HAS_FBSMT,HAS_GRD,IS_NEW,IS_HISTORIC,IS_STUDIO,NB_CAPITOL_HILL,NB_CENTRAL_PARK,NB_FIVE_POINTS,NB_HAMPDEN,NB_HAMPDEN_SOUTH,NB_HIGHLAND,NB_MARSTON,NB_MONTBELLO,NB_MONTCLAIR,NB_NORTH_PARK_HILL,NB_SLOAN_LAKE,NB_UNION_STATION,NB_WINDSOR,ST_2STORY,ST_END_UNIT,ST_MIDDLE_UNIT,ST_MULTILEVEL,ST_PARTIAL_STORY,SLP_CAPITOL_HILL,SLP_CENTRAL_PARK,SLP_FIVE_POINTS,SLP_HAMPDEN,SLP_HAMPDEN_SOUTH,SLP_HIGHLAND,SLP_MARSTON,SLP_MONTBELLO,SLP_MONTCLAIR,SLP_NORTH_PARK_HILL,SLP_SLOAN_LAKE,SLP_UNION_STATION,SLP_WINDSOR,SLP_CONDO,SLP_AGE_CONDO,SLP_LAND_SFR
831,538000.0,1530,7.333023014386481,2.3409,1530,7.333023014386481,0,0.0,0,0.0,0.0,1387,7.23561914106675,0.9065359477124183,0,5,1.791759469228055,0.025,5.0,1.791759469228055,2,2,1,2.5,1.25,382.5,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333023014386481,0.0,0.0,0.0,0.0,7.23561914106675
905,808500.0,2147,7.671826797878781,4.609609,3000,8.006367567650246,853,6.74993119378857,1036,6.9440872082295275,0.8233590733590733,6650,8.802522498284421,3.0973451327433628,0,109,4.700480365792417,11.881,23.0,3.1780538303479458,5,3,0,3.0,0.6,268.375,2.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.671826797878781,0.0,0.0,0.0,0.0,0.0,0.0,8.802522498284421
1189,556500.0,1995,7.598399329323964,3.980025,2929,7.982416346827733,934,6.840546529288687,984,6.892641641172089,0.9491869918699187,3633,8.198089248956116,1.8210526315789475,0,6,1.9459101490553132,0.036,6.0,1.9459101490553132,2,3,1,3.5,1.75,399.0,2.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,7.598399329323964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.198089248956116
1933,797735.0,2528,7.8351837552667485,6.390784,3462,8.149601735736155,934,6.840546529288687,1000,6.90875477931522,0.934,3500,8.160803920954665,1.384493670886076,0,0,0.0,0.0,0.0,0.0,3,4,1,4.5,1.5,361.14285714285717,2.0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,7.8351837552667485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.160803920954665
1981,815000.0,1325,7.1891677384203225,1.755625,1325,7.1891677384203225,0,0.0,0,0.0,0.0,0,0.0,0.0,0,2,1.0986122886681098,0.004,2.0,1.0986122886681098,2,2,1,2.5,1.25,331.25,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1891677384203225,0.0,7.1891677384203225,1.0986122886681098,0.0
2871,374000.0,1889,7.543802867501509,3.568321,1889,7.543802867501509,0,0.0,0,0.0,0.0,4668,8.448700194970938,2.471148755955532,0,19,2.995732273553991,0.361,19.0,2.995732273553991,3,2,1,2.5,0.8333333333333334,377.8,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.448700194970938
3008,186000.0,597,6.391917113392602,0.356409,597,6.391917113392602,0,0.0,0,0.0,0.0,0,0.0,0.0,0,54,4.007333185232471,2.916,54.0,4.007333185232471,1,1,0,1.0,1.0,298.5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391917113392602,0.0,0.0,0.0,0.0,6.391917113392602,4.007333185232471,0.0
3332,178500.0,1105,7.007600613951853,1.221025,1105,7.007600613951853,0,0.0,0,0.0,0.0,0,0.0,0.0,0,36,3.6109179126442243,1.296,0.0,0.0,2,2,0,2.0,1.0,276.25,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.007600613951853,0.0,0.0,0.0,0.0,0.0,0.0,7.007600613951853,3.6109179126442243,0.0
3488,785864.0,2280,7.731930721948486,5.1984,2280,7.731930721948486,0,0.0,2280,7.732369222284388,0.0,5400,8.594339400592892,2.3684210526315788,0,0,0.0,0.0,0.0,0.0,2,2,1,2.5,1.25,570.0,1.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.731930721948486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.594339400592892
3528,425000.0,1644,7.404887575616125,2.702736,2244,7.716015266642587,600,6.398594934535208,656,6.48768401848461,0.9146341463414634,7402,8.909640602443098,4.502433090024331,0,36,3.6109179126442243,1.296,1.0,0.6931471805599453,3,2,1,2.5,0.8333333333333334,328.8,2.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.404887575616125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.909640602443098
3567,506000.0,1027,6.934397209928558,1.054729,1027,6.934397209928558,0,0.0,0,0.0,0.0,0,0.0,0.0,0,14,2.70805020110221,0.196,14.0,2.70805020110221,2,2,0,2.0,1.0,256.75,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.934397209928558,0.0,6.934397209928558,2.70805020110221,0.0
